Market Title,Outcome,Side,Size,Price,Condition ID,Timestamp,Transaction Hash,Event Slug
"Will Bitcoin reach $85,000 in May?",Yes,BUY,9.24,0.52,0x58078283e2356f9b9537b42e7479d7785b83bcd6f18002de8a2526c499eda837,2026-05-04 11:09:42,0x0146cad63f0a9247ab87393ce495f9fc8edf85040070e68577c69979e8fbf52d,what-price-will-bitcoin-hit-in-may-2026
Will Bitcoin hit $60k or $80k first?,$80k,BUY,380.952375,0.84,0xecd961f60dad9a8f4f25f717bc6771e09cddf3077657aafc67a6a528c92aad55,2026-05-01 17:40:24,0x0f1c3092dfdb9c694cda118f733cda7fed766f6bd4845fcb044f7752750f7fc2,will-bitcoin-hit-60k-or-80k-first-965
Will Bitcoin hit $60k or $80k first?,$80k,BUY,626.506023,0.8299999998563462,0xecd961f60dad9a8f4f25f717bc6771e09cddf3077657aafc67a6a528c92aad55,2026-05-01 17:25:04,0x9086062f6f1fa8d013df7f38dcb71ca79681065cf07839fa28deeaf7708a4260,will-bitcoin-hit-60k-or-80k-first-965
Will Bitcoin hit $60k or $80k first?,$80k,BUY,714.86,0.73,0xecd961f60dad9a8f4f25f717bc6771e09cddf3077657aafc67a6a528c92aad55,2026-05-01 00:58:18,0x2192855e57b617cf3f18b166b4541745cb9d046890d456d2000be1c0f7983b20,will-bitcoin-hit-60k-or-80k-first-965
Will Bitcoin hit $60k or $80k first?,$80k,BUY,726.027396,0.7299999998898113,0xecd961f60dad9a8f4f25f717bc6771e09cddf3077657aafc67a6a528c92aad55,2026-05-01 00:52:40,0x0eb4e0714df05d8f73fdd1f24d558a847748f9acf2cf8cde45aa8d1e30da1c16,will-bitcoin-hit-60k-or-80k-first-965
Will Bitcoin hit $60k or $80k first?,$80k,BUY,637.4,0.67,0xecd961f60dad9a8f4f25f717bc6771e09cddf3077657aafc67a6a528c92aad55,2026-04-15 22:39:44,0x5c069a0d565d8a063164ee3c48c4b28a4a2f9c6efeed38f6f6e6ce9cee80d94c,will-bitcoin-hit-60k-or-80k-first-965
Will Bitcoin hit $60k or $80k first?,$80k,BUY,230,0.45,0xecd961f60dad9a8f4f25f717bc6771e09cddf3077657aafc67a6a528c92aad55,2026-04-08 01:04:45,0x410e570ef2995de3a1cdb83a008e2e1a08b7c52cf020efed52603dcb631d42d4,will-bitcoin-hit-60k-or-80k-first-965
Will Bitcoin hit $60k or $80k first?,$80k,BUY,19.29,0.44,0xecd961f60dad9a8f4f25f717bc6771e09cddf3077657aafc67a6a528c92aad55,2026-04-08 01:02:37,0x9e5db1b49a400277b676f40a6cb83c2d24710c92744be916031777d81f52d23b,will-bitcoin-hit-60k-or-80k-first-965
