Market Title,Outcome,Side,Size,Price,Condition ID,Timestamp,Transaction Hash,Event Slug
"Bitcoin Up or Down - May 1, 4:40AM-4:45AM ET",Down,BUY,6.87,0.3491120815138282,0xb5740cd45d3e758aecc52efb950ecf9123a9b5959688d63e5ea8610ad3a29ee1,2026-05-01 11:45:24,0x17d0c0e9e995498e8ce89ecb7d502d353b21f6d2ea35e8f58b0090ab4d1cf378,btc-updown-5m-1777624800
"Bitcoin Up or Down - May 1, 3:30AM-3:45AM ET",Up,BUY,223,0.01,0x528512d995f893228598b6fd9809cc09e10500651912143814e81d8d92e7e58e,2026-05-01 10:45:12,0x23e2fb7e40ccebb3a0790e28b0e803d61598674b9254afedcc12fcd11f6ab08a,btc-updown-15m-1777620600
"Bitcoin Up or Down - May 1, 3:30AM-3:45AM ET",Up,BUY,179,0.01,0x528512d995f893228598b6fd9809cc09e10500651912143814e81d8d92e7e58e,2026-05-01 10:45:12,0x7bb1cd53caaffa5d15feb9d076b04e3ffafa78e94567573aefb8f66a8525398b,btc-updown-15m-1777620600
"Bitcoin Up or Down - May 1, 3:30AM-3:45AM ET",Up,BUY,298,0.01,0x528512d995f893228598b6fd9809cc09e10500651912143814e81d8d92e7e58e,2026-05-01 10:45:12,0xf8a371c258b93a35c76244afd54fb759755172986c7fa880b9da509323015ae6,btc-updown-15m-1777620600
"Bitcoin Up or Down - May 1, 3:10AM-3:15AM ET",Down,BUY,22.85,0.24,0xed1b24d1084e9ea6b19839566d8797647a8b77e929135348ffdbead638ef7196,2026-05-01 10:15:12,0x26029b03b1b303dd53e463af3c7ada2be7e9e564e3dc4bc25c58e66397eeb224,btc-updown-5m-1777619400
"Bitcoin Up or Down - April 30, 6:15PM-6:20PM ET",Up,BUY,145,0.47,0x6bd136a448af1d9de73769ca82fe2cf591c68479c831c8c5a206169722b343ce,2026-05-01 01:20:02,0x091f8526c2b934dcc602a6b91f72b47a9a1ed08a04af5db5f18bd70bb3a9181e,btc-updown-5m-1777587300
"Bitcoin Up or Down - April 30, 5:55PM-6:00PM ET",Up,BUY,90,0.19,0xe84ad8053153687d405cf84df154af9e400178b22c6d5ac1a5e8bf61ed948215,2026-05-01 01:00:14,0x36f5747ef81f03cf75d81d988426cee7af47351708397b6eedf7115f875db266,btc-updown-5m-1777586100
"Bitcoin Up or Down - April 30, 5:55PM-6:00PM ET",Up,BUY,67,0.3,0xe84ad8053153687d405cf84df154af9e400178b22c6d5ac1a5e8bf61ed948215,2026-05-01 01:00:14,0x9a099d9daca62c3966e4b2458113bd135baa23deb0fa18c1f56dcc12de71aef9,btc-updown-5m-1777586100
"Bitcoin Up or Down - April 30, 5:55PM-6:00PM ET",Up,BUY,54,0.19,0xe84ad8053153687d405cf84df154af9e400178b22c6d5ac1a5e8bf61ed948215,2026-05-01 01:00:10,0x138480ba5b78ed0b210911843475b5b3982ae167efe58474d35d7c230f72602f,btc-updown-5m-1777586100
"Bitcoin Up or Down - April 30, 1:35PM-1:40PM ET",Up,BUY,55,0.4846581818181818,0x22669a01b9e3c72b66fda36931c67d44436d49ba6074c13f209c0f33cc1f21f6,2026-04-30 20:40:10,0x8a3061893a377fcadcebf1d66ea3354e5cdcaa3f0b2eec7c6f0573a277bbfb4a,btc-updown-5m-1777570500
"Bitcoin Up or Down - April 30, 1:25PM-1:30PM ET",Down,BUY,116,0.49224137931034484,0xa0b75a811e300d82ea2dc3ebf54cafcd263071565103e5c3e9c199decd1ef67e,2026-04-30 20:30:26,0x7353b9c98cd33542b89fe96281c5e9ba5ddba104243314ee51f19ec6073d86ea,btc-updown-5m-1777569900
"Bitcoin Up or Down - April 30, 1:25PM-1:30PM ET",Down,BUY,58,0.5,0xa0b75a811e300d82ea2dc3ebf54cafcd263071565103e5c3e9c199decd1ef67e,2026-04-30 20:30:12,0x1532892c0d0c155d1034a7d709ff4b587b9fafed64c291fc3412a0ff89e9fca8,btc-updown-5m-1777569900
